Post,Link,Posting Date,Image,Reactions,Comments,Shares
Tired of scrolling your feed? Why not switch to watching videos on YouTube! Choose from our playlists on the InLife Wealth University channel and be entertained while learning the answers to your most asked questions about money: www.youtube.com/inlifewealthuniversity #ALifetimeForGood,https://web.facebook.com//InsularLifePH/videos/495220861360170/?__xts__%5B0%5D=68.ARAJakN7g0s_8JLSm2vD069whOzc8Aufgl1SgKQcec9eNXrbLhAuASuPf1IxMx3jm1CQqlBgrhd0pIASck-ZvDt6D_SJR8fgjARirHNCMAXSNLhRMQBZ_XZLvFbgGaLzprDhBJ2KuUJzjuH-ZFWI9MOG1JFnUvRqAt4gzjf2XXjoPcoGBrJl4OZYUUYBQVI1fYoq_HxRYfZ60t4CLKPNykYGtijsO7svGQ66SA23L1hdHxtz512AkZ-RgIsfDlUDiougjbGkh7MIMCmbDVujM3ZlyryyjQ7rD6sWc7hdDU9opiSNhq2CZGeyc28wBGZo5VM-aQomeqT8GLFzxPLAD9nY_NuJ_ml6tgkH8g&__tn__=-R,2020-03-30 00:00:01,,"{'Total': '38', 'Like': '33', 'Love': '5'}",{},19
"In time, everything will turn out fine. For now, in all the hurdles  you’re going through, know that we're here with you. ❤️ Here's a song by The Ransom Collective for InLife that we dedicate to you: https://youtu.be/qGeRvuKBbpU #ALifetimeForGood",https://web.facebook.com//InsularLifePH/videos/762739817586752/?__xts__%5B0%5D=68.ARAcM66fP9gnBRXYw3RmUwb0sAss5gGQDukyzcN68ht-3kf9IPOm8_6t3uKGWGPFc33cfMLkToYAUncZ-bF3-nDVi7G6fw8o_wQeBWSBsNgEVL7vIEMWkA_6dfX-c-fB2OF4O6AvzxpT3FzqfgX1o8SqHTpGd3vm1Pn64CVzY-26AXXtJ94uS1lSPU94_YrvKazGfZPI6pLhSfKs0pA-fbWJkUoIqgMpqRzUj3TjxMJ2jalt3x1kkzi1jGZY9RmLWjRs3SBgyRpFG9FOD1e7wTUFIHL-evNKj1OaadPuYfn_WwF-NgPfn2yyYuyK4rGV0fQVtgS054qLQJ0JEg_a9X42-UE6VmoB2Hvj8vGM5zv0J43-KOo7Gxc0vtsMJuQiPUR1FEhUtYZHk_ViptmSmFQrMGhvTFyAz_QYQBhrpCkYdFHeuiRbyeofw5E&__tn__=-R,2020-03-29 00:00:00,,"{'Total': '67', 'Like': '60', 'Love': '7'}","{'Alvin Majarais': {'text': 'A Lifetime For Good 😊', 'post_date': '1585474640'}, 'Carmeling Siy': {'text': ""#inlifeatin'to"", 'post_date': '1585509838'}, 'Indika Atapattu': {'text': 'Have you extended your grace perios of maximum 90 days for your health insuarances? Does health insuarance cover give a protection for COVID-19?', 'post_date': '1585754227'}}",47
Childhood bestfriends will always be one of life's greatest gifts ❤️ Tag your #BFF below to let them know how much you miss them. Hang soon! 👯‍♀️ Find some interesting reads to talk about with your BFF at #InLifeSheroes. It could help the distance: https://www.inlifesheroes.com/,https://web.facebook.com//InsularLifePH/videos/2603395776563759/?__xts__%5B0%5D=68.ARD-eiM4ltn3AQsMQ7xLhqXzm3NBRdrDZeBrr_3fT4wozsOmc1UUBAIWPcg4dC8Y0vwRMGKD6X8wuLjofKEgwenh2CMEPOpIgNI0q-kBaTGNBM_k8H67V7mT-gfqkYqehXUnDWHDNTURI-X9BSWzroX6TpYK04G4iWqswUBGWSPDiG7cv1zf0TwqGyByAMd7oKoFzZHjVYdAOjqb9k3k07IixF0cujXUTzoc72cn_gqcxGnozpJinNmfFhUNVBfbvTpiCA9OXOQ40cyR6LoWPvojjvYUk9OI1xWoPAjLsOepUO84p76Z6T2-FfBChhfh0vCwTSi3YtEZeeNmFj2TG392zeQIkXs9efqNzA&__tn__=-R,2020-03-28 00:00:00,,"{'Total': '32', 'Like': '24', 'Love': '8'}",{},18
May this be the most spiritually rich and meaningful Lenten season of our lifetime. 🙏,https://web.facebook.com//InsularLifePH/photos/a.202621819774414/2833690303334206/?type=3&__xts__%5B0%5D=68.ARB3OJwXdfnYbi7RALma0d6xk_3H6M2hDqUfHaQ6qfIYIN_sliE3Xl623rlLhx9KYr6yq8g8uLddz-UEY3uNqvvkomD6ydHmTV4zAsZXU9cpOb9EShbr2vAljAbTCTWrqwBykv3XTKjOC9FCkPuzmK_HLfc3gqhzMfDmwxVqwbuDHYLmkOf_aTKTfqyJhI2fJmzr7Q9TLGxKRbSg1EbXUKu3pLBOeKxEKR3ah1-PYBVyonAbPoFVDsNX7k2Zaf1zMO-cB_W0ReFoSXunJ5zTM3LOBvEvP9MYsDlG6pMVDQXtHD_WumUlaxrUUZITLM-oW3rnY0GzIlG9q9CcTUHUTCKeyg&__tn__=-R,2020-03-27 13:28:56,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/91176787_2833690306667539_8534619789799194624_o.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_eui2=AeHoKKWrCMqEdigUlOWW9yUx-cFg8-89Xcv5wWDz7z1dy68vPTxVoG6gk98oGjiCISpCeqmLKXYBQBBKAUGuM96p&_nc_ohc=MehaImhk230AX9NgDO_&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=7&oh=f69f0a655c30cc0dcf54485bba046c80&oe=5EB2E8FA,"{'Total': '347', 'Like': '243', 'Love': '104'}","{'Tessie Tinsay': {'text': 'thanks for sharing you thoughts in this SEASON OF LENT.', 'post_date': '1585398740'}, 'Cynthia Briton': {'text': 'Thank you Insular life', 'post_date': '1585434723'}, 'Alvin Majarais': {'text': 'Magandang Araw. 🌞', 'post_date': '1585368083'}}",152
,https://web.facebook.com//InsularLifePH/photos/a.144691185567478/2833588863344350/?type=3&__xts__%5B0%5D=68.ARA9DU_g06EoA6wMoG4jHVoRgk1AZIVk1xuGqkS8udkcvft6GYVZmUnwZQCVdNUhpPb7f7opII3VcRTamGE-PZ6BOwx79HQXgloU4O7m5rXNN6IQxh4KrWf09IWwlh_hqkqORLfE5FJW1ayE9TBNYr8aHVoJ220427K_l8bh-ffsdtShUw-jPqzNWLLTw7Q0T1JQSUlyzQtg5bCQ2GMnq_p4lYJma14N3WJjh5MP3UX36y-URA0ECIphpwzPRiUsU6am6ULoRGwPb3ShPhiScZHNDAmmrVgqcEw&__tn__=-R,2020-03-27 12:31:26,,"{'Total': '366', 'Like': '266', 'Love': '99', 'Angry': '1'}","{'Rose Buccat': {'text': 'Thank you Insular Life.', 'post_date': '1585313166'}, 'Cynthia Briton': {'image': 'https://external.fmnl5-1.fna.fbcdn.net/safe_image.php?d=AQDJXyrMuH8godyF&w=396&h=396&url=https%3A%2F%2Fmedia2.giphy.com%2Fmedia%2FYle9Yz9izeVRyiwavn%2Fgiphy.gif%3Fcid%3D120c014715a4a4ca21d5eb6a88cdd3ecf668b99d8a15e178%26rid%3Dgiphy.gif&ext=jpg&_nc_eui2=AeEMPDv6P2EjLZ3k2aUOAwtynJH7YBmvR1-ckftgGa9HX8tVKm9mlCWz2mTM4W3zXlky2tcsBuT0gfA4spAelP7P&_nc_hash=AQAabdy22AL_hJpc', 'post_date': '1585434663'}}",32
"The best way to protect yourself, your family, and the frontliners in this fight against COVID-19 is to stay at home. As we all adjust to this new reality, we have extended further the grace period for premium payments to 90 days. If you need anything from InLife involving your policy, you may get in touch with us through the InLife Customer Portal bit.ly/inlife-cp",https://web.facebook.com//InsularLifePH/photos/a.2817118608324709/2833294846707085/?type=3&__xts__%5B0%5D=68.ARBrDo2gv3UqSAYGuPRAdhvqkW66rSj2hY0WXMfzfgeM5WHFg731Bm5CF9EWrQBhpviRxf0haIkkAwDFc0qkaCrBwyCZiE3DcGKLiSzOImyd6eyEXto1SrdeoqlG41b2gJHbgpwHwvuhMZV6_kfYSAwOEGl4U1MG7TTp4mtTxVb3cmFMFaG6VIzG7sDgJGLuI6ZgCm5DSsXajfT6I04GpeHapq1lrPp3nYW1VlKWFvoz3wQw1ipRjmCw2jjNkzk3k2nqd6xTZU-OU1ZCXj4sTdgV_-8rCwYKYr0wA6Qu1YzljHA0KIv_LsHwgiXI_R-3h4wOMDnkCxo44yUrU5POvXIZMw&__tn__=-R,2020-03-27 09:16:24,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/91054461_2833294853373751_4463115235573628928_o.jpg?_nc_cat=111&_nc_sid=0be424&_nc_eui2=AeHIjF0wbcVZ7CDt87USBfaL2nrIWX5uaTHaeshZfm5pMVfGFqg47wbH4w9KgHLOj6VzCeQqBZLw83Zs6l6nSDU-&_nc_ohc=tyEAL_Xe6SUAX8yJ8dg&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=7&oh=79096e533ef621d12c746f17bbf349cb&oe=5EB28732,"{'Total': '237', 'Like': '183', 'Love': '51', 'Wow': '3'}","{'Alvin Majarais': {'text': '90 days', 'post_date': '1585309965'}, 'Vida Baraoidan': {'text': 'Thanks!', 'post_date': '1585371579'}}",182
"During this time of uncertainty, you can count on our unwavering support. InLife financial advisors are ready to talk to you to provide meaningful help and peace of mind when it comes to protecting your family and your finances. Just send us a message and we will be in touch! #ALifetimeForGood",https://web.facebook.com//InsularLifePH/photos/a.202621819774414/2832561990113704/?type=3&__xts__%5B0%5D=68.ARA3HOP-lvX-VZcoP67oNZ9cws-YLQWg2NxT82UpZXGnFhgVB-qdojNxLCu8XtFL40b6otRCSYrEfnQF6G471HfVNyAN_393jeImtj6lPg7uHDsVxOn0bI-Cs2FhkkV8NWdSj4BzoqCRitgMQM9qUUBzlKFHwoB6PxfM2b7Tx4GMoaGt7e7DCf1RY6UTIInAMLyW6IaCmuURopvMfbPk7-NrIPdYuCtJGSe0f2YqeLotbld2l14JttPcN9B0x98EuljE1TI3S_R0znYxRO2gg1nJqvAAShTYVW6KmCqWeCz3-54sj7bgH7aR3fJxij51cqsGKcMd0agTfzd0z0YB8y2fCQ&__tn__=-R,2020-03-27 05:00:00,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/90874973_2832561993447037_1747980405899788288_o.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_eui2=AeHEPsBLWuku6A91KQNgcCPFVMog1ZT4Tu9UyiDVlPhO7_7cssNXvcuztATv3mW2qi1-Dvqo3Bn5-Sm6xJXMMoaF&_nc_ohc=tab05axQaB8AX8i4Nq2&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=7&oh=59e4d50798e7b266ef5dcd06e6220957&oe=5EB25587,"{'Total': '98', 'Like': '77', 'Love': '20', 'Haha': '1'}","{'Marichu Choi': {'text': '😍', 'post_date': '1585382965'}}",110
"See those stars? Explore them and see how they shine for you. This galaxy is a sign that the future is going to be as bright, no matter how difficult things may be right now.  #ALifetimeForGood #SolidFuture",https://web.facebook.com//InsularLifePH/photos/a.202621819774414/2794283457274891/?type=3&__xts__%5B0%5D=68.ARCfywkd-0-nsfPzruclq7Voqg6MUx7XQsWBEoUhWIPoXwz9Gfc81t4zSSwk4rJ8kQiMtc9ZLSDx3hbKDOnc3AYXlS4iTctMrwViPwMeki77ez2zD4FGTWb4cZHA02udcYyWCBCsx_e19Wlhz9zWlx_RGqKHUFE5bDAhRkM7COxnG0iQ3ynI57cpff3NLtEPzsoYPM-DaBVCkbUNgIA4x8z7IMLsAjqz-mxDlla_XtoQpyLGjhQrnr6zQx3DO8PC8nl5xcaQ2LLQh3_iKaBtPDGkrAwbcDoSWZGyMchdo5Q1RldON1UAo96XjNjwEA9hqYex2_p7vboWR_7LAHP1dZqFDw&__tn__=-R,2020-03-27 00:00:13,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/89549266_2794283463941557_7241906668894683136_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_eui2=AeGzLdsWtvxoLm__omKovgts-l7V0KjJUqD6XtXQqMlSoGiBmfbzy42pYw_d53TJllkPoBLUnvuIq_-dJlLp04-S&_nc_ohc=K4yVB2sYqtkAX-zI1SK&_nc_ht=scontent.fmnl5-1.fna&oh=0afe3d73bec12285bd37ae72a9e49623&oe=5EB03545,"{'Total': '51', 'Like': '39', 'Love': '12'}",{},22
"Having a journal is not only a way to immortalize moments, but also a great reference for storytelling time with your children and grandchildren. Someday, they'lll ask about what happened during the pandemic—and by that time, if memories start to slip, this will come in handy. #ALifetimeForGood",https://web.facebook.com//InsularLifePH/videos/524051731606796/?__xts__%5B0%5D=68.ARBSXwGFNwFEViXTjhERTB2NAMalqyyYctBMfLDO7jiQ05e_8CvQl_JIBhO20RmZ-2f5uCBoZivfomSfIi4IRVY4-xOd_Aefi8zEs7zVjsI1cp1oxyseOXs2Oftnh3jLaoLEJZXhoUNF0pIKZfvS8xH-3jaYAuTtlAh2mvlYkq1g5SH4NYTSJUHJOwVb0Uw3T-yrrbIcEBQ5sPL0F4cXSLBHSsfWaIX40YM6uas-DxEwkRQHENAEtz-oDsFXg0_t98pueFtj6h5OgpoBmjSFKjno8hTkgE5TSxPpIDu5qGgzKlp33DP5t-7gGcaYQqAdILRiDRgHyhOBhlyoJ9bnGWOWzj5MKZZbSQetrw&__tn__=-R,2020-03-26 00:00:01,,"{'Total': '47', 'Like': '40', 'Love': '7'}",{},26
"There is some silver lining to this dark COVID cloud and that's being able to spend time with family, strengthening bonds, and deepening relationships. Today, #InLifeSheroes through #SheShares brings you some tips to make the most of family time 80s style! https://www.inlifesheroes.com/…/activities-for-kids-that-do…",https://web.facebook.com//InsularLifePH/posts/2829052567131313?__xts__%5B0%5D=68.ARD96FI0yMU6b4iurYyrXSwOw_dI5bNq00PD0LdV56MYP8Rvq_cdO7UyxKr_Vehy1SkpDz8jPdDZB9crpprsFnlDWyD6Gn80o-69NjBFRhbTEJGOIuFoN1NXAN1G88FWO7HahgkY4NE1OkH0YnoEXKrGJcRMS7q7UoDoZ8-CnjRK_v-XHpljnHindMqF_Ny0Al4pxJdIjjgULJXSmsr1OGsR_OrtaPM0CMhzGqQrWoNbN0hWNH3JBHC_ky_QrGSF-PN_z87z7xWEEgOFgMa2TpmGWgzyQyTVIZC2yLMl1vkW8PbdeY3MfWcpy6gnbnbQW7vEmpUOmoXyUBKUPAajE7vJNw&__tn__=-R,2020-03-25 12:08:21,https://external.fmnl5-1.fna.fbcdn.net/safe_image.php?d=AQBBajbNbHt-4IjI&w=540&h=282&url=https%3A%2F%2Finsular-sheroes.s3.ap-southeast-1.amazonaws.com%2Fproduction%2Fuploads%2Farticle%2F66Dhrqh2jiFCvbw7EJDerN37%3Fresponse-content-disposition%3Dinline%253B%2520filename%253D%2522mama%2520activities.jpg%2522%253B%2520filename%252A%253DUTF-8%2527%2527mama%252520activities.jpg%26response-content-type%3Dimage%252Fjpeg%26X-Amz-Algorithm%3DAWS4-HMAC-SHA256%26X-Amz-Credential%3DAKIAJRYEOUFG5LAMSKMQ%252F20200325%252Fap-southeast-1%252Fs3%252Faws4_request%26X-Amz-Date%3D20200325T120814Z%26X-Amz-Expires%3D300%26X-Amz-SignedHeaders%3Dhost%26X-Amz-Signature%3Db025a33595eafc17ef1dac03f5b153e8a2d15f9cc198b3346400694c827ba2a4&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_eui2=AeHAQxirU6eSXqDJxJdCHyLwM9bNDsDFqDsz1s0OwMWoO0fztOCyHqJG_bn7G2JD_qr-dbz0xOJzPZAQ26d-R_iI&_nc_hash=AQBPkO0vOqpgBhFI,"{'Total': '78', 'Like': '69', 'Love': '9'}","{'Monching Rita': {'text': 'Insular Life Bakit hindi na ma open ang customer portal nyo. May problema po ba?', 'post_date': '1585282516'}}",49
Keep making memories that last a lifetime even while you're at home! Spending all this time with your kids might make you wonder a lot more about what what the world is going to be like and what their lives are going to be like many years from now. Have peace of mind when you know they'll be fine when you secure their future with a plan. Send us a message and let's preapre for it together  https://www.insularlife.com.ph/contact-us #ALifetimeForGood,https://web.facebook.com//InsularLifePH/videos/566917253950238/?__xts__%5B0%5D=68.ARAUKAXXMj-Ow9M6NcFlgFjgAgBqtxI3Ec1lbB-xQii4LVhzd9U6IRqoA2U-P0-Ue_3iXb0zG1fYfsw7ddtSuyarUsuF5xUoeD337X-IGMZWUCMnPFAbWmxQ4nBblTZQ8w8UhhqSEZ0NB9x24DfMAcypBAfflZTREpomGzdsncjsPkeWgQ0IM6Uyn6rO8nuAxcCsbFiKL1WIl7YwsSARg4jYPf0qx33HkUOir0wMf885IjfMpp03NVfqwAhegsoOhKcaak3U_6VpqGtc1Qv8ZnilpBSmxP3vbtPkRrehXYyK_-4h1TJpl1po9azERbpjMeXjwEzGw-nxs2dLK1WLjYIeffJxg4LGYs5iuQ&__tn__=-R,2020-03-25 00:00:01,,"{'Total': '49', 'Like': '44', 'Love': '5'}",{},55
"The Insular Foundation, one of the first corporate foundations in the Philippines, has raised over P2M for our healthcare workers in the past 2 days through InLife employees, financial advisors, policyholders, and their close family & friends. Now, we are calling on the public for donations to purchase in bulk Personal Protective Equipment (PPE) for healthcare providers and first responders dealing with those impacted by the pandemic. Any amount you give will be matched 1:1, ...peso-for-peso, by the Foundation. You may send your donations through: • BPI - Account Name: Insular Foundation, Account No: 8841-0005-61 • Paypal - paypal.me/InsularFoundation and e-mail a screenshot of your confirmed transaction to info.foundation@insular.com.ph for an Official Receipt to be issued. Each of us doing a little bit really adds up and together, working as a community, we can overcome this health crisis. #EmpowermentForALifetime",https://web.facebook.com//InsularLifePH/photos/a.670611212975470/2826831894020047/?type=3&__xts__%5B0%5D=68.ARDBGUqhD7BH-unBb1H6dySDy1-FQd5rGdczsJd1S3JxVsuCwwa43FVibCYPkVvUhTK7REuHJcwlFwxBCmC5J8l1j8D4fBzXwGsuRoLvYy88kq0vZ7BUwEATm1R7caK7tuuD88tcgpTA2EkG8US6yRD6EqKL1-QgAs6NfeKoVkP6ta95Pfot9gviTf8IA0xJljl01roRuiXbUwwrN-y5JCPe1Uaqgy4UmYHMDXc98rc-Ai6NQVbNMDBGHt26AR5REOc8_EMSeiAGUNOgdR0XN0SHK672oY2vr3rEFbbn1naUAvqAgFLKu0cyTQ_ACpzaLczH04VEbU_PUPs4e4l7epPRtw&__tn__=-R,2020-03-24 12:37:29,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/90752575_2826831897353380_3965873716230881280_n.jpg?_nc_cat=108&_nc_sid=110474&_nc_eui2=AeGNxYk4LAX0i2LoEcSJt4r-lPEHUKSR_0uU8QdQpJH_S7H5aFNMnEs0fxAC9SqXxFh91O0HNcfrp5TNRUqOHpvI&_nc_ohc=LFFnATO-GogAX85pt4E&_nc_ht=scontent.fmnl5-1.fna&oh=15755ea09c0d67a3bb0f2accb1cba011&oe=5EB2A1BB,"{'Total': '275', 'Like': '202', 'Love': '71', 'Wow': '2'}","{'Anna Rey Ricaborda': {'text': 'done!', 'post_date': '1585055610'}}",274
"With gyms closed and the outdoors off limits, #InLifeSheroes got in touch with an expert to give us the lowdown on how to get fit with no equipment and with limited space. Because being at home shouldn’t be the reason for a Shero to stop being super. Learn each exercise and get some pro tips here: https://www.inlifesheroes.com/articles/the-sheroes-workout",https://web.facebook.com//InsularLifePH/photos/a.670611212975470/2824482274255009/?type=3&__xts__%5B0%5D=68.ARAC6KmM6K5SQgs1uAMDDS8aE3MBNpWhxlAneNAsZPlNQ8U7dOHwXvyPuu-lmIbC-NncfhxjTDNJ3ZSt28T5g4lkREjkMsHNcCqj8EnhU-pCMOvt9BQ4HAe8PGOwHM3rpGHxg4FZffACVkjjQEary8jlcPbooswxDmy9JY8Oyqr1Qq1sZelINfro64SPSeTDx8ugUVmIRhQr134YayhCU9rFakPtEBgXH-r5NaYTLqRFBepkzMxhVS06rcEqJ4z-3tQ2Mb8IBFoFec0QnkrU5xkctCJdQxHF8PmBsb5FKhmemT7XDGzETIlS5rZFiLh8tHgr4DHQBWnuP5hTu0FVrc6bOg&__tn__=-R,2020-03-23 11:54:46,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/90204082_2824482277588342_4991275829343289344_n.jpg?_nc_cat=103&_nc_sid=110474&_nc_eui2=AeHU8GUysQxug7eWLcicMlotGvpHDgodk5sa-kcOCh2Tm22nixVxJtKmKwXAP1wODab118IqFZN6BWHgXw_sfe6K&_nc_ohc=QRn_ybcbXzoAX98pju9&_nc_ht=scontent.fmnl5-1.fna&oh=56243c4eabab17b9dc366d949983dddd&oe=5EAFAF3E,"{'Total': '122', 'Like': '97', 'Love': '25'}",{},78
"Being tested for the coronavirus and staying in the hospital can have significant financial consequences. Check your InLife policy if you have the I-Heal plan, a Lazada Premium Protect plan, or any individual life insurance plan with a hospitalization benefit (rider) attached to it. If you do, you may claim a daily hospitalization allowance if confinement is due to COVID-19 - based on your policy’s contract provisions. We want to help you focus on your recovery and relieve your loved ones of any more worry.",https://web.facebook.com//InsularLifePH/photos/a.202621819774414/2819504538086116/?type=3&__xts__%5B0%5D=68.ARBknuJKH_atsOHOnwQPC9OChgv-UWItxlsW7VGTB3UUciA0tqOruxa74NiAPJUUjVAl9099WIS5HvjQqnnn96FTWaL_SHEOHRO1mbMM9J25T8nQBLSG0QOL0SMx__CdG8qt6IIqdFJVRF7etww1pXoG0Q9uZAzsz3-Kcq2MMcimhpBVYXK4SDk2mz7ePijW_YJf1SoSxkXdUjlzKBj3OpVfHV25AiKJyJHuo_zDdotoIBD6p2-OBDoZgdw-DptyznnL9dQLsdi0FpP74B1sb9V-E9e_DNkTooiqk9GYz7LL-bzVSsjkFCNN7dTZMeFQDJwwJV-Jwapb3EV7Dsh4JQLsKg&__tn__=-R,2020-03-23 05:00:00,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/90066628_2819504541419449_7639034124065308672_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_eui2=AeEPXh_qGH_qGm0HZzpa01i-pGifiuZcO_akaJ-K5lw79hbtMblGcypcrOBcrdodV_CuI6k-rZA8i7c0Y181sUQ3&_nc_ohc=8mfN4mmCAQkAX9liwb3&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=7&oh=d6697290b28172be672e3b27bb8f5268&oe=5EB0279F,"{'Total': '67', 'Like': '56', 'Love': '11'}",{},54
"No matter what age you are, never take your health for granted. It's in times like these that we realize its importance. Start making it a priority today because losing it could really impact your finances. Talk to us and we'll help you come up with ways to better safeguard it. #ALifetimeForGood",https://web.facebook.com//InsularLifePH/photos/a.202621819774414/2823809664322270/?type=3&__xts__%5B0%5D=68.ARCQS4uc5HN0lEWKgRWf5dwS54D1WSYaEWkhlY9GbcBshMQP1zr9dHD6Z0iP1yfv46BfN2GWPRHkY9_XCs5XRmf4G9fFC8w-5oIyJT5_es78hRYzC_akly_8PHjOtP3vhnmf0BbHku6HSoao2fI_LSgjMp28Z_QF11eeKC3XJoglthhCMlqrLXzpZLsPdYXHz1n7cemBLe0rKwlBWpm2HkWdD5rpBBD_e_Jr4T02UK-QqbTveTwOcQdINXka2aeRAHq86EePLqGgUlZWs0SEd_I3Ak9RJRAdHZ-FvIQh37P1sieMaCRd6pXYo8lKXlglG-s5QRFcBbkVOT10HSQlUMIhCA&__tn__=-R,2020-03-23 03:22:48,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/90351273_2823809667655603_2639698874490421248_o.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_eui2=AeGubjQmTR659iJlzYW3k0C1r0Vt6QRcyAavRW3pBFzIBrPJNe94BvtG4WimdtlWYlWle5231RIRSVqqDbXw26fL&_nc_ohc=GgkW1LiGLgAAX9ivQKl&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=7&oh=2257d08af56957973a57430e2b582610&oe=5EB1FE41,"{'Total': '93', 'Like': '81', 'Love': '12'}","{'Jie R. Martinez': {'text': 'Indeed true....', 'post_date': '1584934740'}, 'Sheryl Anne Lau Monteverde': {'text': 'Kung matapos itong quarantine sa tinakdang panahon, either ripped ka na or lalong chubby hahahuhu. Stay healthy people!', 'post_date': '1584942027'}, 'Marichu Choi': {'text': 'THANK YOU 😍 InLife', 'post_date': '1584939131'}, 'Frankie Sts': {'text': '💯', 'post_date': '1584939324'}}",72
We stand among Filipino companies dedicated to serve and support our Filipino brothers and sisters during this most trying time.   https://business.inquirer.net/…/big-business-steps-up-to-th… #COVID19PH,https://web.facebook.com//InsularLifePH/posts/2823700394333197?__xts__%5B0%5D=68.ARDR-ili3LPwJgb0732OamPjIWm6EQZlB0fm7u3rjZXEuOoAAiCMT_uSE5MbT9-jip2d18l90ZtCmoi0-inrshTeY0dCokK5LWq-epAXx9ufH8cUJr1JMRSMOjbQxb8krGW4WuIVE19LUk4ukpWmSOJfqDtNq-hSNIdvRCn-ZJYExgdbqaj688Olb6pz8THgBkciEMT-Mb2vkYlzibYapVL62eMCQLwVl-YGz859PH4kJLM0rUuIpC3kU0cPC7ibRvEdsPLOTEX5luJqSUMThTTLSPVRz9owH9T-jtD5ZwMraoAm8_5F6tb2OPmRrrS0tGacP4vLkF38w2TZ6lZoJJnMKw&__tn__=-R,2020-03-23 02:00:46,https://external.fmnl5-1.fna.fbcdn.net/safe_image.php?w=540&h=282&url=https%3A%2F%2Fbusiness.inquirer.net%2Ffiles%2F2020%2F02%2FNews18438-620x405.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_eui2=AeEEAbf1eB1uSMPpV2Rzm00V4RJBn5757EvhEkGfnvnsS4ODusy2ImAjNTeLBfu_5dJBjoxHAAc5iI3YpRHUleSp&_nc_hash=AQDuXlWZg8-1U_ez,"{'Total': '85', 'Like': '64', 'Love': '20', 'Sad': '1'}",{},51
"In these unprecedented and uncertain times, we want you to know that InLife has your back. With the life insurance benefit, you can be sure that your beneficiaries will be taken care of if the unfortunate happens as a result of the coronavirus pandemic.  (Accident-only policies not included)",https://web.facebook.com//InsularLifePH/photos/a.202621819774414/2819610498075520/?type=3&__xts__%5B0%5D=68.ARCP1dBL4M_j0xmeR3tOfkGXu_RU8EBdGzWWlCXBO_tu82vBvmmfFVmEKQOxAuIIqKZqQBfK0KhLsUBzSgAMBiy7MfQF876e2Pd6w6-ectAcGUpQvAK7eB4xp3eFxDmxLnyc-lm0e8ySiav3oVg5JaMGbfw7eTvE1EGFQ6PvaXAfF3AozdDla1VotHCTs3q0l4WXzo9j060Ym2nNcJHq7K8vMZ9TOLkAduuqST0tyDIKIHses9UzsnLjyRJMQbesd8cPXQ-5b1pujwQYggHUfpUJR8M42UZm_kJHSfTX8tJtC2xFL_a72bI7Yg5Q9YmPk0iWkiGsjrPsChpRlx12Qs3BFA&__tn__=-R,2020-03-22 05:00:00,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/90514315_2819610501408853_426541989668847616_o.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_eui2=AeGrBPyJg1lGFzLCaoT38X1bfaD5A3xWBjN9oPkDfFYGM8LyTxVXUzKaQ4O_5vvI53DleC8PDGv13PBbEZMJquXl&_nc_ohc=YL6MRlkWJGMAX9nii3D&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=7&oh=bbb867266664f8836b122b0a3bab2b9d&oe=5EB0F19B,"{'Total': '156', 'Like': '123', 'Love': '31', 'Wow': '2'}","{'Maria Eloisa Pedro': {'text': 'Thank you! ❤', 'post_date': '1584856474'}, 'Jerome Del Rosario Bendoy': {'text': 'Also a wealth insurance policy holder ?', 'post_date': '1584932079'}}",182
