Post,Link,Posting Date,Image,Reactions,Comments,Shares
"Here’s your chance to help out! You may send in your donations through the QR Code or through this link: bit.ly/puhonph This is done through the collective effort of YSEALI, Limitless Lab, and the Asian Institute of Management - Team Energy Center For Bridging Leadership. Ben&Ben",https://web.facebook.com//AIAPhilamLife/posts/2654152678028015?__xts__%5B0%5D=68.ARA2K9NeL7Yk7B9EW_gewoY32Ivt0Rjg_8Yu4ab54qYqc1RxDLuNNZ-2ka5CCcHx0-DSk1iXrh2DpNUauoEB3KfDa4jKbq5T6JQotlXJGUDc_MtVXTw-tVBtkC7t3ED3R7_nNmgwV1ot2Lny7Cv6oVVfKB0S3LGOooufW-lHCU5rV7UPgbskpkI_CZeLz5XLM3Lc20f7EjFHCOqofCn75wpnR8FT8Dr5kjQZPLo6Y7updDiQxCBaL9UCXR6hONfg4HN2OTNsjLPpYbLgO-WqOAYY5XFk7ga3zOgUXK7Vn3kRxvtjDtzovRcZI8o5h-ye0XS4WHthGtK5_pv9FNTQDXO4rA&__tn__=-R,2020-03-27 11:06:06,,"{'Total': '76', 'Like': '57', 'Love': '16', 'Wow': '3'}",{},46
"Watch Puhon: A Ben&Ben FB Live Concert tonight at 7:00 PM on Ben&Ben's official Facebook page. This is for the benefit of front liners and urban communities affected by COVID-19. Tune in now! All proceeds will be donated to Philam Foundation for test kits, PPEs and food packs who will distribute these to various organization.",https://web.facebook.com//AIAPhilamLife/posts/2654133748029908?__xts__%5B0%5D=68.ARA33xKv40jIKUgcI1rxujyCIJKUbPjXykSz8XGyMFYdtc69YJrsZrSKIFFNAIn1n0a6cSZujGQEs0umtpOGypA5CEIMw_crY-820grIpZeuFIlWUTL8FJZ3htxfI0cEqLSP07yekRgFwmDkL8XSVX6o3OqLg_pkpm15MN_41je07Qz_IRGC4bnsAJ9EL5p4SDkLT_I-0jYHMfe4ctoaRnBpg-q1hAaA0F4oHSTB9geDW4QmwnEBJfRdbuUPmNFuFKJL13QevoYnIwCCgiFLMp0ngL8qTfVlTtAXbhmLDDMqVTQDIEREJbWAQW7Bax-i3UCOooh6kbJvjpZ3zLZgOQ&__tn__=-R,2020-03-27 10:54:26,,"{'Total': '182', 'Like': '136', 'Love': '46'}","{'Miagi San': {'text': 'Bago kayo mag donate asikasuhin muna sana nyo ung mga nag apply para sa mga claim nyo mag 2years n nga nga p din', 'post_date': '1585323958'}}",85
"#PhilamVitality Healthy Hack: Even without equipment, you can stay in good shape in the comfort of your own home through this 15-minute workout: https://bit.ly/2UgaFdp  Stay fit and healthy, everyone",https://web.facebook.com//AIAPhilamLife/photos/a.247496375360336/2651160491660567/?type=3&__xts__%5B0%5D=68.ARARmBrgep2l_xLCFMgikeKTSpEfTReJ--WmxvGJnq4L03VH2q1h0PIuu450jZG7s8SHoAntb6WLzzCRGVLExBclkscNHoNYX5SAK7PBpRw3XbiBDFUj67UEQV3VsnJU786pSfaVS3SYft98KXZH2Y4tpzsQpsqd9wATokQaUd3oZkA3fiOthuTHF9oZXVD8ymarmhceSOJ63Oiypq-ztSQ6ECi3hJK6dcCgh-Fl5ByXtQdHcJSG0bAzqtqniHHuGEIIZz4ZA6EFhmbWGdkKA2YqNHbCxfsIPppHaGfPJ7-MjV01fmAeb839j_chqcI23Nl5K6q2WGFYd9DNEh24yIzGPg&__tn__=-R,2020-03-26 03:00:00,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/p720x720/90776454_2651160494993900_891436370843664384_o.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_eui2=AeHPPwIp13noLG6ur9WrdeCsH5xRXnz2Q6YfnFFefPZDpsde62piuLHPmiNQ-IaBazquxY3h4ew-uWWOS1O4m0Xl&_nc_ohc=M6tKZa50dqkAX_ASzvX&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=6&oh=5f8c7330620eabf3b22b7e46d048c6fa&oe=5EB196AA,"{'Total': '107', 'Like': '82', 'Love': '24', 'Haha': '1'}",{},66
Congratulations to the batch of Garmin 2020 February raffle winners! Click this link to find out if you were one of the lucky winners: https://tinyurl.com/r277gbo Winners will be notified thru email on how to claim their prize. Continue achieving those little wins for a chance to win your own fitness device. It makes tracking how far you’ve gone in your fitness journey so much easier! Find out how you can join here: https://bit.ly/PVGarminPromo,https://web.facebook.com//AIAPhilamLife/videos/794136981083590/?__xts__%5B0%5D=68.ARCVxxNkWyxLm_cBojmQSE6Dc7mXy6OpUzKwbkba3vTTRG_K4O_5w3JdWRzVCB7gEeAREJEru6rjz9xrjGATbDMZRTSApgp7sI0MEzaCozHoZSl3ARV9z8aj_EEdc2jyPiIrE8OhPHOo8pR_Nc3AQ0RKasrRzLx5tkWZGP9PWstKQDXi6REuyaQdy9AoidVE3gp-E3bRsRQFWCv3Thfkhlg_WNQiAEdoQnMBSAioQ8GHMsvPVJml04DGjUlzmCDYLxMwLD3uCSk1adMb8mZ0h27ReiZcgJeCpqDpHl9qmNq84LTnVTUirZytGQMa3mtcb_Wcjtfr97AMX6AUdrvbRHO-MxGxCR081yh7DzaSl-WjfkEYi0uENuKFVw&__tn__=-R,2020-03-21 04:00:00,,"{'Total': '75', 'Like': '68', 'Love': '7'}",{},16
"Take part in a FREE concert tonight on Bayanihan Musikahan FB Live and listen to top  Filipino artists as they serenade you for a cause! Philam Group has already pledged its support. You too can show your love and support for healthcare front liners by visiting pymy.co/pbsp and making your own pledge. Proceeds will be used by Samahan ng Nagkakaisang Pantawid Pilipino, Likhaan and Caritas Manila to provide medical and health supplies to help aid Local Government Units in the fight to stop the spread of CoVid 19.  See you there!",https://web.facebook.com//AIAPhilamLife/photos/a.247496375360336/2638860096223940/?type=3&__xts__%5B0%5D=68.ARBHkv43qgUuK9jizUOhka5uKLNuCEM0ILRyGQb3GKB-T7QmSinzHRqckGA0DeRAL-kleEIg6JxUiflnVmRlorzf3aJ1aJmY-PEMx3hrt4IB1LMxtwiDK5C-xrhNxnXSBGtEdJGd9PheQMeAf4ce3QiR5iEfUPrQzPIXUa8LgnMHlfzArFErVo2VTEmxFyYn90g0o7mPtT367qV0jM1dErt5NGjBwf1Wiw--BmMoVi2BB7kuhiUfIpz6tGCSTZ_m-PuCeuVAnHAdtadsKq4QcbGU25ESw2QHDGh7pC6KZdyFonG_TEu9iU_CRa1U7uCjgclXWsl6nLqgl_204EEY8ijEuQ&__tn__=-R,2020-03-20 11:30:14,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/90710426_2638860102890606_5716918177569439744_o.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_eui2=AeEvfNEpUU_f52scm_lSNeQ4aAPUSQByxkFoA9RJAHLGQfvRgwlhHPb717V0Qwm4dqMuZUp1DICKkkOsLXlBjYcU&_nc_ohc=Rv0e5k1g4bEAX8iFCX_&_nc_ht=scontent.fmnl5-1.fna&_nc_tp=7&oh=9f0a2c87a6d3422bab9986d65ee1f92d&oe=5EB34307,"{'Total': '197', 'Like': '131', 'Love': '63', 'Wow': '3'}","{'BJ Suzara': {'text': 'Uncle Totop Suzara!!!', 'post_date': '1585914983'}}",107
"Whether you’re filing a claim or applying for a loan against your policy, we have made it hassle-free for you to file a request even if you are unable to personally visit our branch because of medical or travel restrictions. LEARN MORE about how you can file a request by clicking the images below.",https://web.facebook.com//AIAPhilamLife/posts/2638818262894790?__xts__%5B0%5D=68.ARDVehdWGlf1N51ZMPrTev4qhzY_gl-jP6Hi3-zNh3_PC0m2EVd9InJSM1cQrHazD1z-cttlapHoOWA4wAkgxzRB8oWhr8azDwBSqi2G7FyvPrZUByzL-g3tf-R7Qd7kHuCg7K0XHQK8IhqJAAVjpuh7-N2uLiuNQvqVVE6MINYeeaWJ02-iKn9uU26BG4ed715uj9ySDRqEHCc9atiw7O2ZMebrRJsiK5VPNNijraeXTQb69ohG0y70SZ51GaAIHZbGcjiF_w1v4udkgJqi-NE5zgW4kxICN-vqQzp3XX9UB_wox3zRkVmCIZL8tSLMAixt-Nw4aaniC6M1rsKlKrWU-w&__tn__=-R,2020-03-20 10:45:45,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-0/p526x296/90308142_2638817666228183_8549976372351598592_n.png?_nc_cat=104&_nc_sid=8024bb&_nc_eui2=AeGhQBBMCaFMLUDzYcphGxED6ADfysrrmMjoAN_KyuuYyAoNrZARE5K67yjY2xJS4c_YTvluyEYxNbRzyoZ-PUx8&_nc_ohc=jbKqJRLklHsAX-8W1Ef&_nc_ht=scontent.fmnl5-1.fna&oh=0981f14f3b6aa345b1518e7bb0711a96&oe=5EB2E761,"{'Total': '125', 'Like': '107', 'Love': '18'}","{'Yolanda Luciaja': {'text': 'Mam/sir gud day query ko lang po bakit hindi pa po dumating ung policy benefits dapat po nung March 14 pa,', 'post_date': '1585493193'}}",78
"Who says kailangang tumigil ang buhay tuwing naoospital ka? Don’t let sickness put your life on hold. Protect yourself with AIA Med-Assist. Ang plan na ‘to, may Medical Benefit, Daily Hospitalization Income, Life Insurance, and even Philam Vitality. Learn more about this product here: http://bit.ly/AIAMed-Assist",https://web.facebook.com//AIAPhilamLife/videos/851102082022926/?__xts__%5B0%5D=68.ARD89IS7ALd7ORNlBzpfJnTn3RSddTxGvPyYjKGo8jXcO8fpqSsI0VAuUSb7suAd5T2NYZPNs9hwwYhXEt9VLMBHGZhCPhin-iDfn9D0ALhq8lXmbwQwd8hcF5VKd7nZKcIk6GMG7G1knFg4pc5ya5AH6jFC4kzHCm6e1mDUtfUwAN5xrYo7KBAhtpejIyWowsCaiARV3kr56Kq_r3djInBbI5ecMXkDdkIIpJCwMr6IOEiL7-U_2-piMl7zFunWIO5cnqqW6y4xCFj48QHsg-GPZ9ja2pBOm4br2I_5IMMFy52b8Jnm-QBhLoq6H_pC94gfsje90qOEKgCa4THQIPQ1hQv5ns44Xkx0IQ&__tn__=-R,2020-03-20 10:20:00,,"{'Total': '230', 'Like': '175', 'Love': '54', 'Haha': '1'}","{'Marilou Layaban Javier': {'text': 'AIA all in One is the best that we can all have!', 'post_date': '1584700979'}, 'Richard Gary Pigon': {'text': 'Pls send details to my email account richardgarypigon@yahoo.com. i am interested.', 'post_date': '1585645358'}, 'Lance De Cordova - Philam Life': {'text': 'Ganda!', 'post_date': '1584701256'}, 'Vey Cara': {'text': 'Pede p b ako nito', 'post_date': '1584774012'}}",486
"Being healthy is a reward in itself. AIA Med-Assist can do more than provide medical benefits sakaling maospital ka; it also has Philam Vitality our science backed wellness program that allows you to know your health, improve your health and enjoy rewards. To learn more about it, click here: http://bit.ly/AIAMed-Assist",https://web.facebook.com//AIAPhilamLife/videos/644755646316719/?__xts__%5B0%5D=68.ARBLXd992QC_St8Gq0GJc-iOG6jLTtgSv48WmtXW01-kZQ7mEAwFHGURd2g0-a5BnrC0XnXFacygGP-GBsGSaXa6-sGM9mzmZyw_5U1jhNscca8klGdNmvsdBtl64V2Lbj_CPJD_M4MkIo8fC1Yh1nvIT3Kfym2EuHyW0MvPyYspqOA-H0l0kmh7Frl-JLsD_eBXmCnmazznexA4sf8ojdPm6mVTviGxzwIyPQPso4y0B4H1K3C0SIEoXi0tBv5CdUbaM8QDbQyJt2g9d4UQ7eAmCsWtg_WHWkOObfb-nKos5JpbcblDXPfBgBoHWhrLEzEpm2p8W8pvu_oQA5eVPSZnp3Skip2cVW_dIw&__tn__=-R,2020-03-20 10:15:00,,"{'Total': '111', 'Like': '83', 'Love': '26', 'Haha': '1'}","{'Vicpatrick Mandin': {'text': 'Hyacinth 👍 👍', 'post_date': '1584744602'}}",129
"Sakit man o pagpanaw, napaghahandaan kahit di inaasahan. You need a plan that both protects you and your family from the unexpected. Ang AIA Med-Assist ay may Life Insurance at Medical Benefit para protektahan ka sa mga bagay na hindi inaasahan. To learn more about it, click here: http://bit.ly/AIAMed-AssistWhether it's painful or passing away, preparing for it even though it's unexpected. You need a plan that both protects you and your family from the unexpected. AIA Med-Assist has Life Insurance and Medical Benefit to protect you from things unexpected. To learn more about it, click here: http://bit.ly/AIAMed-Assist",https://web.facebook.com//AIAPhilamLife/videos/209134240159084/?__xts__%5B0%5D=68.ARCWDnFE2ENidx4uvqwyJF3RGmRh9MEiyxQA2b0qbVuwj1YuGPu9FisFkLQDHZNDtnWW3Kf4YPlHqg60WYw5d6tHs0CfB5wn31HyGGr-JGYBJRO1v8q4SvdpbuihI8aB8iVc2Gj08xy4FVV8dsa-Fp41uhFlVwD4ojiM1x9-fPP4NkmQmy5JH8yYK3RXD3Ds_Nr_K6iMyO3yitIvfg2g-q7L4_QGWSuZsQD7-VrpuzFehyaGfHzeLKLaB-ym89QexliTrHMtQ3YQwkcI7l2GEf7WjAvjPypLZnikyjsNqkRnqyhu29YeuDRj4iqyi9Yy3gymeBBsX-ebDwQQHimZ74djwBddUwEhoji6Ug&__tn__=-R,2020-03-20 10:10:00,,"{'Total': '184', 'Like': '141', 'Love': '42', 'Wow': '1'}",{},262
"‘Yung mga araw na di mo ipinasok, baka leave without pay ‘yan. With AIA Med-Assist, may Medical Benefit ka at may Daily Hospitalization Income pa-for every day you're confined to make up for the loss. To learn more about it, click here: http://bit.ly/AIAMed-Assist",https://web.facebook.com//AIAPhilamLife/videos/209108093640248/?__xts__%5B0%5D=68.ARCcd3SGuZLAtMm0Gauo5pK-bkoZM4HWFDSqzDnAFZv-KZOjQoaW86c9iXvn1HmhF59j1CqNXftTSk9q4YU6BlTgwUVpl45Th0aBgb9KShVrGp0AreGKd1zSpTZ5nC92XPA0E2ZkA3W4tuG6fOCg9EeSBCAFlQgIS-HCQ_79je9Ox0LXYKd99xVRt-MhawSNEKIZFquiH1NV6Td1ARviYuRPKthgqGn-y3CuCUVqx6IPyB6M7qVAK_qkoOTtWkoshjJSKsOa3WIya1RdGglcY8ETzWlPIL7IqRSpInYpSOfKbQutKTWVIF35jSefTRcHwKGov6l-C9ObX4X0GsrbeEnqF_8Ui7u14ma1mw&__tn__=-R,2020-03-20 10:05:00,,"{'Total': '70', 'Like': '52', 'Love': '18'}",{},88
"Haggard ang pagpatong-patong ng medical bills sa ospital, ‘no? Nasasayang sa sakit ang ipon mo. Buti na lang at may maaaring sumalo sa medical expenses mo. With AIA Med-Assist, guaranteed na sagot na namin ang 90% nito. To learn more about it, click here: http://bit.ly/AIAMed-AssistHaggard laying medical bills in the hospital, ' right? Your savings are wasted in pain. Good thing someone can catch your medical expenses. With AIA Med-Assist, we are now guaranteed to answer 90 % of this. To learn more about it, click here: http://bit.ly/AIAMed-Assist",https://web.facebook.com//AIAPhilamLife/videos/230734794744752/?__xts__%5B0%5D=68.ARCUQz1AAmOzF41VKzOm4aFrwbUQLSQw4vlL2bSbyZ7NFxWTC6yVefXGYvZlxDsp9QSohGaWw26TMBq4pSZ_t3VdxzmE-eFnb7c0IVsZ90qMqaL4jET7aIs0WP4Mvk1EFxb5eMl6I1i6kvrzpn2ycXf3fE34Buuq3v4EhxOJvDPgWVwAMbdNW1r7ogit-6Bc-vxxUWshjsFLoZf6-0eqDNjuMaD4BFxNd-aBlPT-zFeo7IiqMpMo3jJdWW342TU8mu0H7TAgoSQtoDcAsHn-5PxGYypjXW4kui0MHm5GQg8lto-NiNz20HxBX-aTyrtApRoU6jsX7c-k8_EO5LAvdOYlTf7Oig9Vdjpqqg&__tn__=-R,2020-03-20 10:00:00,,"{'Total': '162', 'Like': '127', 'Love': '34', 'Wow': '1'}","{'Princess Barcelona': {'text': 'How', 'post_date': '1585221349'}}",281
"From reviewing policy details to checking the performance of your investment, you can do it easily anytime, anywhere with ePlan. View the images below to find out what other things you can do with your ePlan account. Not yet registered? Click this link to register today: http://bit.ly/AIAPhilamLifeePlan",https://web.facebook.com//AIAPhilamLife/posts/2636840119759271?__xts__%5B0%5D=68.ARBBhiOByYavxqXP1I0AcqdP6UGJzNv_XyO5x4nv_WwL-44s-s6XC4S1SsLJNP2G96AO-YX4w7VuwyqZYBsb2G_hF5bB5whDtd4Q481p7Fz5J4Ii9D8eqDS9AQwTWICweXq-wYPkZcL_6hvZZQDXYcjJTc0kQwH0uD1luuTrl2YsMynR8F66AqpL6oRPNTt2mQUMAaSklWZ5bpTNQ4mdhpw-RWcL1VIghs79C_Er-in3PaeVDdj6G8aaYIxaj6Rcqo5B4eIBT7rfeDYIXA1RqiOp-7zxUEY0Rj6LbK5X3iqS-xYaMehUItuHaNuFlWZUiorDlJAw4GU4iCrQYPopVo3H9A&__tn__=-R,2020-03-19 13:00:12,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-0/p526x296/84629181_2636839299759353_4936730367454347264_n.png?_nc_cat=108&_nc_sid=8024bb&_nc_eui2=AeF_Ag9YkGwl_dJL3-O7V7ryawBUEte4ECFrAFQS17gQIdaG7nQMkwmxQ-JG-ji-PzHnHzud-Ukkas1l4DiNaJ0q&_nc_ohc=OmsNrgWtP3AAX_N9fNm&_nc_ht=scontent.fmnl5-1.fna&oh=06bed3c3ae50cd493c22f56083b4c13b&oe=5EB264A2,"{'Total': '101', 'Like': '82', 'Love': '19'}",{},83
"Nothing’s greater than the gift of life and vitality. That’s why throughout your birth month, your Vitality Health Check at any Hi-Precision Diagnostics is for FREE! You can also earn up to 6000 #PhilamVitality Points when you do so. Book now and enjoy your birthday treat! Terms and conditions apply. Learn more: http://bit.ly/PVBirthdayMonth",https://web.facebook.com//AIAPhilamLife/videos/2589352814620809/?__xts__%5B0%5D=68.ARByQArMmwfBgwyB1KesFWuzgvBsf2dzjx2CsLbBLWtpZxW84kwA7yENZwaCEXNS6k-4qMxiy4rmiTG-EJei5mV6UcRgwCCTi4tiCfsqxs9WEhEFrLpYOKQWcspevZu3gEkYvr3954fsP0_ZtNHDeVu26CpCwlbr3rAwuslS_5m-ByHoV65FzGgoF-F2Wp5JOblAXJiXLAYBP5vFqFTm1fb1DMpzi8AqdmqI6sZi451G7rTN6hRzZctKWDxYJFdzx5QIoCoxJNHi-g3k-U-qyKcLY75_bap41tmZtwjoKYNP21_lrSokENwoHIjZA7y9nSsPOP5Rd5M0eKnpLOm5Vml_0VDhHJuM0O01Eg&__tn__=-R,2020-03-19 11:00:00,,"{'Total': '66', 'Like': '54', 'Love': '11', 'Sad': '1'}",{},37
"#UPDATE as of March 18, 2020: During this challenging time, we are committed to ensuring that your requests are properly handled. Following the announcement from the Philippine Stock Exchange on the resumption of the local stock and bond exchange, VUL-related policy requests will now be processed",https://web.facebook.com//AIAPhilamLife/photos/a.247496375360336/2633608043415812/?type=3&__xts__%5B0%5D=68.ARDclFsuvhDbQZATXpwXKzLAub8uVdjFbmSRgCDG7NhqWJo03HeSPYaE_l5lqxH5O63XGZ0kXKNuv2xEWkDV7S55uRINLTlbiUgVrYudCExeRm2sbUXjnjhXQm7lNO2rLMDUGG26lcsI9buz9zMDYa02mqOJV50Rfpe46vv643MpUakm2qIIDCum3dVRyLf14D3TYckmjIEXYYCuYJF64Cicx-yySjp1Pcdq6gDqwKipX233t9RyvWXhazERcgLk9ZWplGnzUS91slsREIqqRz2EHcM17cPcyFF_CakGTOHdxffEyDdkYNGbAPtDUUsrN4Lo9QvC6nwON10uic7IMgbBjg&__tn__=-R,2020-03-18 01:31:43,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-9/90442753_2633608046749145_710756494089388032_n.png?_nc_cat=105&_nc_sid=8024bb&_nc_eui2=AeGs8gryfnSljUv0VDpXFGu2_mvmnarXY2L-a-adqtdjYjA5unzoEergpetOKg9lrAzXV1qrAg2MckJs0jZbsl7U&_nc_ohc=fJXLA5kVM3kAX9UE6XI&_nc_ht=scontent.fmnl5-1.fna&oh=e1e237b81c93081d76412c9795d58a79&oe=5EAFB7C6,"{'Total': '145', 'Like': '118', 'Love': '27'}","{'Joanna Escala Saga': {'text': 'ano po pla makukuha nmin philamlife sa ganito crisis. mga member', 'post_date': '1584551563'}}",69
"#UPDATE as of March 17: With the implementation of the enhanced community quarantine by the Philippine Government, AIA Philam Life has temporarily suspended the operations of our hotline and customer service centers in Luzon until April 12, 2020. Here are branches outside of the quarantine that remain open from Monday to Friday, 10am to 3pm: Cebu, Iloilo*, Ozamis, Cagayan de Oro, General Santos, and Davao*. We remain committed to assisting you on your policy-related needs during these trying times. CLICK on the images below to learn more how we can help you in the coming weeks. IMPORTANT NOTE: *As of March 20, our Ilo-ilo and Davao branches have also temporarily suspended operations.",https://web.facebook.com//AIAPhilamLife/posts/2631937230249560?__xts__%5B0%5D=68.ARCWwLxgjlAkK2engrtCjehdolPWc805mFyjyY11rWz-biDdWqYQt9CeRP5SHx3hSva7V4FW2cMcLHV9z61E2XwZHZo5tSg22jNYDJJIvRUVm6glU1L3lukvB7RFaHZPfUMZW82Hck2pLflN-veZiGGVjAq6x2fK5mbtDvO0V4-IadnCDvEkGv3rmkTAoP-yCpGILvSwroozzmG4gUgYMrgMNGkoJd1k37UYteqZemRqeYc6FV_grP_iyIoItceDe3KtNfh3T515Q9BDp_eNlFm_YfMZoR_W2lQPJahP8rgE9lO-fXKY212nTj-3Y60sm9R-TC62qOvtq2Lx7yNHKa1odg&__tn__=-R,2020-03-17 08:00:01,https://scontent.fmnl5-1.fna.fbcdn.net/v/t1.0-0/p526x296/90401269_2631937166916233_7269211605651423232_n.png?_nc_cat=108&_nc_sid=8024bb&_nc_eui2=AeEm7ywMasvyhSgovCep0_SKg_VIsbaHXmiD9UixtodeaCp1TjNaD4A2YNxREUOIuLtwVps5HcChG112FzbninBh&_nc_ohc=XvnPLqrVDCYAX-8Q7cf&_nc_ht=scontent.fmnl5-1.fna&oh=ad9369b3ce14012e2ff55c10f0101a27&oe=5EB0C645,"{'Total': '218', 'Like': '210', 'Love': '8'}","{'Jo Torno': {'text': 'Philam i hope you will give us a grace period on our policy payments. Thanks.', 'post_date': '1584432774'}, 'Tom Dela Mines': {'text': 'Philam Life, wag puro negosyo, takte a look on the welfare of your client, especially in this time of crisis!  Tulong tuling din pag may time!', 'post_date': '1584432868'}, 'Jun Rodriguez': {'text': 'Sun life announced extension of their grace period , 91 days ? Will you do the same?', 'post_date': '1584489125'}, 'JC Baltazar': {'text': 'wala pb cancellation of penalties for overdue payments?', 'post_date': '1584445876'}, 'Cha Guadalquiver Cambe': {'text': 'Don’t fret about how you will pay your premium and keep your policy benefits active because we are giving you a payment extension of 30 days from your policy’s premium due date. …See More', 'post_date': '1584436585'}, 'Jennifer Cabuslay Quitane': {'text': 'Baka naman po pwede kayo mag bigay naman ng tulong sa mga policy holders nyo sa ganitong panahon. 😊🙏🏻 para po habang buhay pa po kami maramdaman naman po namin yung binabayad namin kahit paano po.', 'post_date': '1584447263'}, 'Merla Dela Cruz': {'text': 'ms jo un 30 dy grace period na extend n s 60 dys', 'post_date': '1584531759'}, 'Sarah Bartolo': {'text': 'Covered ba ng insurance ang covid-19?', 'post_date': '1584446131'}, 'Zeekee Lagulos': {'text': 'Imperial Myra, here you go maam', 'post_date': '1585713521'}, 'JceLine Sugano': {'text': 'Hi! At AIA Philam Life, keeping you safe and protected is our top priority. Don’t fret about how you will pay your premium and keep your policy benefits active because we are giving you a payment extension of 30 days from your policy premium due date. Thank you.PHILAM', 'post_date': '1584441682'}, 'Rach Gatchalian': {'text': 'Not getting my next policy from Philam  😒  Ang tagal ng official statement for payment extension, walang official statement if covered ang Covid! Yung ibang insurance companies clear at mabilis ang pag release ng communication through their agents at emails. Philam pa ang pinaka mahal 😄 Jusme ang serbisyo   tested agad. Bakit ba ako sa inyo kumuha 🙈', 'post_date': '1584443786'}, 'Joel de Leon': {'text': 'May extension ba sa duedate', 'post_date': '1584759603'}}",132
